Reason,Category,Transaction_ID,Date,Time
Hotel booking,Food & Dining,006F143965,09-07-2024,03:17:44
Internet bill,Daily & Household Expenses,006F215FD0,10-05-2024,10:35:46
Grocery shopping,Daily & Household Expenses,0031A54619,29-11-2024,07:23:03
Doctor consultation,Health & Wellness,002D516435,10-04-2024,12:23:31
Water bill,Daily & Household Expenses,00763F8F36,29-07-2024,10:51:36
Fuel refill,Other,00B36A41B7,19-11-2024,03:47:22
Electronics purchase,Other,KLX0L1JZOC,14-01-2025,16:36:30
Gift purchase,Other,EHDRVNKKM2,24-08-2024,03:55:39
Fast food,Food & Dining,A1YRCEHR9Q,29-09-2024,03:57:20
Club membership,Other,NWM1WJGIIX,16-12-2024,12:46:26
Electricity bill,Daily & Household Expenses,YRRP0RBYTD,29-03-2024,16:19:36
Cab fare,Transportation & Travel,XFX8OHXX8Q,23-11-2024,11:55:06
Bus fare,Transportation & Travel,XAJF8FTN5U,13-10-2024,08:25:14
Movie ticket,Entertainment & Leisure,RT37IKLAA2,28-09-2024,19:00:51
Online shopping,Other,HU66ZN2E8R,18-05-2024,03:09:37
Train ticket,Transportation & Travel,17E0IN3ODC,05-12-2024,10:16:47
Car service,Transportation & Travel,9IQP0UE86L,02-11-2024,08:14:46
Salon expense,Other,QS7GZTBY6V,20-07-2024,08:37:48
Property rent,Daily & Household Expenses,D07QKITH9M,17-11-2024,08:41:56
Restaurant bill,Daily & Household Expenses,AWM7JDW08A,02-12-2024,10:30:27
Pet care,Health & Wellness,7AZ7YF3QZC,21-11-2024,03:39:48
Insurance premium,Financial & Legal Transactions,4NLL1L1SN4,31-01-2025,15:01:12
Pharmacy,Health & Wellness,G7BLRS32LA,31-03-2024,22:44:18
Loan EMI,Financial & Legal Transactions,COX36IXH8X,16-08-2024,22:45:13
Gym membership,Health & Wellness,24NDNB9XD4,23-11-2024,17:34:41
Mobile recharge,Other,LDYW8PI68D,20-04-2024,16:50:15
Flight ticket,Transportation & Travel,STBHDB51G4,25-03-2024,18:56:14
Credit card bill,Financial & Legal Transactions,KBUIFYU9ZK,28-08-2024,23:37:50
Tuition fees,Education & Learning,38A32RO936,04-05-2024,23:41:51
Streaming subscription,Entertainment & Leisure,YWFUICA3FJ,11-09-2024,09:29:51
Laundry Service,Daily & Household Expenses,X572DCYPBR,01-11-2024,17:15:16
Home Cleaning Service,Daily & Household Expenses,GDEDZSVEBT,28-05-2024,10:44:39
Furniture Purchase,Daily & Household Expenses,DWIG0K1RK7,21-12-2024,18:28:48
Kitchen Supplies,Daily & Household Expenses,RFORHANNVD,07-12-2024,15:46:06
Home Repairs,Daily & Household Expenses,9MX4GQ6D7W,19-10-2024,15:12:54
Home Security Service,Daily & Household Expenses,XPFKVJD02G,06-05-2024,12:26:39
Pest Control,Daily & Household Expenses,KOPIBJWEJZ,26-03-2024,23:42:57
Gas Bill,Daily & Household Expenses,BQWDJZOT3I,25-04-2024,08:24:33
Water Purifier Service,Daily & Household Expenses,XWU7MNBUUM,23-10-2024,10:35:12
AC Repair,Daily & Household Expenses,RA6DMUZ0AL,28-01-2025,04:12:25
Smart Home Devices,Daily & Household Expenses,81P7S57WJ5,22-03-2024,06:18:21
Parking Fees,Transportation & Travel,Y3YA20OOAL,15-11-2024,03:38:10
Toll Charges,Transportation & Travel,PCFAWJLSN7,21-06-2024,14:11:49
Bicycle Rental,Transportation & Travel,764NFN7ZEP,16-01-2025,01:40:00
Travel Insurance,Financial & Legal Transactions,YT4F1DFSGD,09-08-2024,12:50:51
Car Lease Payment,Transportation & Travel,R8MW012Q5O,30-03-2024,02:41:54
Vehicle Registration Fee,Transportation & Travel,EPIIKADCOP,16-04-2024,02:32:13
Vehicle Insurance Renewal,Financial & Legal Transactions,3GKEF783RI,25-10-2024,23:58:23
Ride-Sharing Payment,Transportation & Travel,QM14DHTEGV,31-08-2024,10:13:40
Metro Card Recharge,Transportation & Travel,Q4QWZU7A9Q,14-05-2024,18:29:23
Travel Accessories Purchase,Transportation & Travel,GTHJCXRPTK,25-11-2024,01:07:41
Concert Ticket,Entertainment & Leisure,2P1R1LJ40K,01-06-2024,20:29:42
Theme Park Entry,Entertainment & Leisure,S9HUS7DZUK,11-02-2024,10:58:52
Sports Event Ticket,Entertainment & Leisure,V64JROR254,23-09-2024,23:43:45
Museum Entry,Entertainment & Leisure,ZS5RR2PEPB,15-03-2024,03:38:02
Gaming Subscription,Entertainment & Leisure,3TM46AJ3SG,06-02-2025,01:29:01
Streaming Movie Rental,Daily & Household Expenses,50IKDNZJIO,26-01-2025,09:34:15
Board Games Purchase,Entertainment & Leisure,8PH449FSMM,16-06-2024,19:36:29
Music Concert Ticket,Entertainment & Leisure,5NTGMIWZJ8,30-10-2024,03:50:48
E-Sports Tournament Entry,Entertainment & Leisure,LLJGG194D6,25-11-2024,08:01:30
VR Gaming Experience,Entertainment & Leisure,S18EP14JJU,11-08-2024,13:32:25
Co-working Space Rent,Daily & Household Expenses,NXST466YLY,19-07-2024,08:00:49
Business Software Subscription,Transportation & Travel,8PKK3Z71OC,22-02-2024,08:48:33
Office Supplies Purchase,Other,3OGIKR1PYL,17-10-2024,07:03:19
Resume/CV Writing Service,Other,DJAMYIO79H,03-02-2025,06:02:09
LinkedIn Premium Subscription,Other,XRC3LD8O1Z,21-03-2024,04:15:42
Online Course Fee,Education & Learning,2U3TWC8A6T,30-08-2024,08:44:39
School Supplies,Education & Learning,M8SBDKT6WL,27-03-2024,16:14:51
Books & Stationery,Education & Learning,YZ8BDD8CJ9,28-07-2024,20:37:28
Seminar/Workshop Fee,Education & Learning,N26Z4VUVLW,10-05-2024,08:21:58
Library Membership,Education & Learning,6RFCX0UE1W,06-03-2024,02:05:45
Skill Development Program,Education & Learning,10G3BMW2LG,06-03-2024,20:59:04
Study Abroad Consultation Fee,Education & Learning,JRW7451EFH,22-06-2024,20:43:12
Certification Exam Fee,Education & Learning,EBPKNQWS8S,08-05-2024,04:34:45
E-Library Subscription,Education & Learning,HW78WOREUS,27-02-2024,10:01:57
Tutoring Service,Education & Learning,33TRU7P7NB,26-06-2024,12:40:51
Income Tax Payment,Financial & Legal Transactions,N1FJFXCIS7,18-03-2024,02:28:31
Legal Consultation,Financial & Legal Transactions,MQG3184D3F,04-11-2024,22:51:52
Investment Deposit,Financial & Legal Transactions,83NKEPU0BS,21-05-2024,10:46:44
Charity Donation,Financial & Legal Transactions,99AW06XX17,08-02-2025,15:32:24
Retirement Savings Contribution,Financial & Legal Transactions,NJWOSPMO0Q,11-07-2024,14:49:11
Stock Trading Fee,Financial & Legal Transactions,ZBJG60BBDY,21-07-2024,07:24:54
Cryptocurrency Purchase,Financial & Legal Transactions,VLN41IMS42,12-01-2025,13:38:40
Crowdfunding Contribution,Financial & Legal Transactions,O99RZNDNI9,12-11-2024,22:06:02
Mutual Fund SIP,Financial & Legal Transactions,KBTMPC5EZ2,01-09-2024,16:14:45
Plumbing Service,Daily & Household Expenses,P0W5ZNRRS8,24-06-2024,17:39:54
Electrician Service,Daily & Household Expenses,940J4ND2S2,26-10-2024,04:58:40
Laptop Repair,Other,G7HF11EEWS,29-11-2024,12:17:55
Smartphone Screen Replacement,Other,M2R4NCCWKJ,01-06-2024,23:59:00
Watch Battery Replacement,Other,GJT6QSV7V5,09-08-2024,06:59:14
Health Checkup,Health & Wellness,V5GH4AJ8GH,04-05-2024,11:08:05
Dental Treatment,Health & Wellness,5J7XGUXT0J,04-01-2025,10:22:27
Physiotherapy,Health & Wellness,R1Z8SJ4D6P,25-06-2024,11:14:47
Mental Health Counseling,Health & Wellness,E6EXW0XYYI,08-02-2025,09:43:03
Optical Purchase (Glasses/Lenses),Health & Wellness,YJWDX7T64K,31-10-2024,15:55:58
Spa & Wellness Therapy,Health & Wellness,0I0RD8YU3Z,17-03-2024,12:19:35
Tattoo & Piercing Service,Other,PYSORYVVYS,20-07-2024,07:03:55
Skincare & Beauty Products,Transportation & Travel,3K7ZTXU0SS,05-08-2024,20:28:04
Perfume Purchase,Other,11PZFVVVTN,26-05-2024,23:53:32
Luxury Clothing Purchase,Other,VIY2OAXCDA,18-11-2024,13:05:41
Veterinary Checkup,Health & Wellness,BI768F19VE,14-05-2024,08:29:51
Pet Grooming,Other,LA2NZWKD4J,07-06-2024,11:52:24
Pet Training Class,Transportation & Travel,GUG9D5DO1P,15-12-2024,15:45:16
Pet Insurance,Financial & Legal Transactions,I6AJV569OB,10-04-2024,22:15:45
Adoption Fee,Other,3ELK8PJGM6,21-12-2024,22:14:26
Babysitting Service,Other,4ZJ12EQ2DY,07-12-2024,00:12:01
Courier & Delivery Charges,Other,NH1JNN7U3N,18-05-2024,02:56:55
Photography Session,Other,Y8NCXDSWOO,08-02-2025,15:07:57
Wedding Expense,Other,S47LCWP870,29-12-2024,14:13:55
Festival Celebration Expense,Entertainment & Leisure,R4GQ17HDJ2,06-04-2024,06:42:41
Lost Item Replacement,Other,CASIW6XUK5,09-02-2024,12:16:17
Passport Renewal Fee,Other,9A2N74N7F1,31-03-2024,17:35:16
Government Service Charge,Other,T8AKS9V07M,13-01-2025,19:20:58
Event Hosting & Catering,Other,85JZUSXQ51,18-08-2024,15:03:07
Charity & Fundraising Contribution,Financial & Legal Transactions,9ZG3VOFA32,30-12-2024,07:14:27
House Renovation,Daily & Household Expenses,AUWIEPE5F4,07-06-2024,01:21:42
Interior Decoration,Daily & Household Expenses,9C0EVOQ9NP,20-02-2024,08:45:54
Home Insurance,Financial & Legal Transactions,M2V4IAE3SZ,23-03-2024,12:09:25
Lawn/Garden Maintenance,Daily & Household Expenses,IMV97UZUAT,27-04-2024,13:46:07
Smart Home Automation,Daily & Household Expenses,1MLRENQD61,12-07-2024,19:08:55
Roadside Assistance Service,Transportation & Travel,3FQ8YV8V9T,20-11-2024,08:20:20
Car Wash & Detailing,Transportation & Travel,UMX1OZB9J8,30-05-2024,21:14:43
Bike Maintenance,Transportation & Travel,XGI7M6VCAR,05-07-2024,01:38:01
Car Rental Fee,Daily & Household Expenses,J77N7Z4WTK,04-09-2024,15:43:42
Highway Pass,Transportation & Travel,O1U7P23P43,16-04-2024,11:09:22
Amusement Park Pass,Other,XIDMR6UE4G,21-10-2024,13:08:57
Escape Room Ticket,Other,4651ZAJ25G,11-04-2024,06:40:40
Bowling Alley Fee,Other,WRZ8Z8U1P3,02-09-2024,11:42:08
Karaoke Night,Other,NNV97TA6OJ,30-12-2024,01:40:50
Live Theater Show,Other,ROHYE6UM60,02-05-2024,01:34:24
Domain & Hosting Subscription,Other,VWUM691N4Q,18-09-2024,05:51:45
Cloud Storage Service,Other,Y647WLZ26E,15-04-2024,20:29:02
Graphic Design Services,Other,9NXEDA3RZG,03-09-2024,09:25:31
Freelancer Payment,Other,ZPCHF9DYBM,06-12-2024,00:01:38
Business Consultant Fee,Transportation & Travel,RP05E8E0MH,11-05-2024,17:09:03
College Application Fee,Education & Learning,L23H7FMSL0,26-04-2024,03:47:06
Research Paper Access Fee,Education & Learning,6XZS5L2JH1,12-03-2024,22:57:32
Exam Coaching Classes,Education & Learning,VXRJ9LTVXE,10-08-2024,10:13:09
Foreign Language Course,Education & Learning,R3AE6PY42C,01-08-2024,22:38:00
University Alumni Donation,Education & Learning,64R9QE7FYX,31-08-2024,14:11:26
Real Estate Investment,Financial & Legal Transactions,3YWUZYRXTW,21-06-2024,08:48:59
Personal Loan Repayment,Financial & Legal Transactions,GG5OXS0SZB,12-01-2025,21:49:25
Gold Investment,Financial & Legal Transactions,NCPZ5J3CG3,24-09-2024,10:42:17
Fixed Deposit Contribution,Financial & Legal Transactions,RYL5CY3IYV,26-01-2025,21:49:51
Pension Fund Contribution,Financial & Legal Transactions,FCK1QEFXCN,03-09-2024,13:20:32
Roof Repair,Daily & Household Expenses,BT2GDQHHE5,29-09-2024,22:27:26
Plumbing Emergency,Daily & Household Expenses,T3IIWMRPVM,04-10-2024,01:14:23
Broken Window Replacement,Daily & Household Expenses,TX3HNRLBEA,12-07-2024,03:08:42
Flooring Repair,Daily & Household Expenses,1BH4FTJJDK,21-08-2024,03:16:56
HVAC System Maintenance,Daily & Household Expenses,R1LLKXRGJO,14-04-2024,20:48:31
Personal Trainer Fee,Health & Wellness,K8H7NSGIDB,11-06-2024,20:24:32
Dietician/Nutritionist Consultation,Health & Wellness,6RAAWBS4DL,24-01-2025,02:07:18
Medical Insurance Premium,Other,9HB45AIU04,04-11-2024,02:20:31
"Alternative Therapy (e.g., Acupuncture)",Health & Wellness,WMTKCKYXP4,16-04-2024,01:33:40
Hearing Aid Purchase,Health & Wellness,2J08LPJDZU,02-03-2024,05:31:24
Designer Clothing Purchase,Other,6WTUGN4ZCI,14-12-2024,12:42:57
Luxury Watch Purchase,Other,ZY46YCC0QW,11-01-2025,02:01:12
Hairstyling & Coloring,Other,U24K9J36AA,15-05-2024,09:24:15
Nail Salon Visit,Other,F1NIL6L7ER,20-04-2024,08:31:39
Custom Tailoring,Other,DOKZ9HV581,21-05-2024,09:46:42
Pet Vaccination,Health & Wellness,JHWIS1Y73S,17-04-2024,02:59:48
Pet Boarding Service,Other,05NNYDYTNF,25-10-2024,14:50:22
Pet Adoption Donation,Other,R3IN8HX4UK,18-07-2024,21:34:04
Fish Tank Maintenance,Other,TFH968G3OG,20-05-2024,10:51:38
Bird Cage Accessories,Other,IGAPUNMC01,12-03-2024,09:00:47
Lost & Found Claim Fee,Other,AP1QRQ7RCP,06-06-2024,22:21:43
Community Service Contribution,Other,P2MCWMYN68,16-03-2024,20:03:36
Social Club Membership,Other,YAVRIF56KD,13-12-2024,11:22:24
VIP Lounge Access,Other,ULP2FQ08JH,20-03-2024,08:56:31
Wedding Gift Purchase,Other,RK599KPX8W,09-08-2024,00:33:46
House Painting,Daily & Household Expenses,D2GNK3WSES,15-08-2024,11:41:05
Pest Extermination Service,Daily & Household Expenses,299668DZYI,20-12-2024,18:59:30
Home Moving & Relocation Expense,Daily & Household Expenses,ZW5AIP542T,07-02-2025,22:28:32
Emergency Locksmith Service,Daily & Household Expenses,XO0VCUJEFN,02-08-2024,15:25:45
